,cik,year,Filings,link
0,1018724,2019,SC 13G/A,"https://www.sec.gov/Archives/edgar/data/1018724/0000215457-19-003120.txt
"
1,1018724,2019,SC 13G/A,"https://www.sec.gov/Archives/edgar/data/1018724/0001193125-19-030982.txt
"
2,1018724,2019,SC 13G/A,"https://www.sec.gov/Archives/edgar/data/1018724/0000932471-19-005072.txt
"
3,1018724,2019,SC 13G/A,"https://www.sec.gov/Archives/edgar/data/1018724/0001193125-19-038217.txt
"
4,1018724,2019,SC 13G/A,"https://www.sec.gov/Archives/edgar/data/1018724/0001193125-19-038229.txt
"
5,1018724,2019,IRANNOTICE,"https://www.sec.gov/Archives/edgar/data/1018724/0001018724-19-000006.txt
"
6,1018724,2019,8-K,"https://www.sec.gov/Archives/edgar/data/1018724/0001018724-19-000002.txt
"
7,1018724,2019,8-K,"https://www.sec.gov/Archives/edgar/data/1018724/0001018724-19-000008.txt
"
8,1018724,2019,8-K,"https://www.sec.gov/Archives/edgar/data/1018724/0001193125-19-049914.txt
"
9,1018724,2019,10-Q,"https://www.sec.gov/Archives/edgar/data/1018724/0001018724-19-000043.txt
"
10,1018724,2019,IRANNOTICE,"https://www.sec.gov/Archives/edgar/data/1018724/0001018724-19-000045.txt
"
11,1018724,2019,8-K,"https://www.sec.gov/Archives/edgar/data/1018724/0001193125-19-097640.txt
"
12,1018724,2019,8-K,"https://www.sec.gov/Archives/edgar/data/1018724/0001193125-19-103013.txt
"
13,1018724,2019,8-K,"https://www.sec.gov/Archives/edgar/data/1018724/0001018724-19-000041.txt
"
14,1018724,2019,8-K,"https://www.sec.gov/Archives/edgar/data/1018724/0001018724-19-000061.txt
"
15,1018724,2019,10-Q,"https://www.sec.gov/Archives/edgar/data/1018724/0001018724-19-000071.txt
"
16,1018724,2019,IRANNOTICE,"https://www.sec.gov/Archives/edgar/data/1018724/0001018724-19-000073.txt
"
17,1018724,2019,8-K,"https://www.sec.gov/Archives/edgar/data/1018724/0001018724-19-000069.txt
"
18,1018724,2019,8-K,"https://www.sec.gov/Archives/edgar/data/1018724/0001018724-19-000081.txt
"
19,1018724,2019,10-Q,"https://www.sec.gov/Archives/edgar/data/1018724/0001018724-19-000089.txt
"
20,1018724,2019,IRANNOTICE,"https://www.sec.gov/Archives/edgar/data/1018724/0001018724-19-000091.txt
"
21,1018724,2019,8-K,"https://www.sec.gov/Archives/edgar/data/1018724/0001018724-19-000087.txt
"
22,1018724,2019,8-K,"https://www.sec.gov/Archives/edgar/data/1018724/0001018724-19-000093.txt
"
